[WARN  2023-09-22T21:15:22,517 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-6) No content type specified in response from /cm?uuid=46c24d08-2831-4a2d-802c-32e97d94c95c&key=fwgp8ygfyzxtorfu3r233&cuid=09821303-f51d-4432-8aa3-8cd1d42a2b99. Content will be treated as application/octet-stream 
[WARN  2023-09-22T21:15:22,895 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-0-ProxyToServerWorker-7) Cannot decode unsupported content encoding type br 
[WARN  2023-09-22T21:15:22,896 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-7) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2023-09-22T21:15:23,149 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-0-ProxyToServerWorker-5) Cannot decode unsupported content encoding type br 
[WARN  2023-09-22T21:15:23,150 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-5) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2023-09-22T21:15:23,427 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-4) No content type specified in response from /p/action/56278123.js. Content will be treated as application/octet-stream 
[WARN  2023-09-22T21:15:23,441 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-1) No content type specified in response from /[https://ad.doubleclick.net/ddm/activity/gdpr=%7B%7BIAB_CONSENT_FLAG%7D](https://ad.doubleclick.net/ddm/activity/gdpr=%7B%7BIAB_CONSENT_FLAG%7D)%7D;gdpr_consent=;src=5213100;type=invmedia;cat=gluzqvus;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=;tfua=;npa=;ord=1?. Content will be treated as application/octet-stream 
[WARN  2023-09-22T21:15:23,520 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-4) No content type specified in response from /action/0?ti=56278123&Ver=2&mid=e84499ed-d322-4495-b68c-76c1325eaffa&sid=6061b610597c11eebf81df9ee09e7c38&vid=6061e140597c11ee866447eaeed69a73&vids=1&msclkid=N&pi=918639831&lg=fr-FR&sw=1712&sh=884&sc=24&nwd=1&tl=GlobalExam&p=https%3A%2F%2Fauth.global-exam.com%2Flogin&r=&lt=3242&evt=pageLoad&sv=1&rn=44615. Content will be treated as application/octet-stream 
[WARN  2023-09-22T21:15:23,707 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-4) No content type specified in response from /action/0?ti=56278123&Ver=2&mid=e84499ed-d322-4495-b68c-76c1325eaffa&sid=6061b610597c11eebf81df9ee09e7c38&vid=6061e140597c11ee866447eaeed69a73&vids=0&msclkid=N&gtm_tag_source=ua_e&gc=EUR&tpp=1&ea=gtm.js&en=Y&p=https%3A%2F%2Fauth.global-exam.com%2Flogin&sw=1712&sh=884&sc=24&nwd=1&evt=custom&rn=696584. Content will be treated as application/octet-stream 
[WARN  2023-09-22T21:15:24,413 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ClientToProxyWorker-4) No content type specified in request to /collect. Content will be treated as application/octet-stream 
